player_match_sk,playermatch_key,match_id,player_id,player_name,dob,batting_hand,bowling_skill,country_name,role_desc,player_team,opposit_team,season_year,is_manofthematch,age_as_on_match,isplayers_team_won,batting_status,bowling_status,player_captain,opposit_captain,player_keeper,opposit_keeper
-1,-1,-1,-1,N/A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12694,null,335987,6,R Dravid,null,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,35,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12695,null,335987,7,W Jaffer,null,Right-hand bat,Right-arm offbreak,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,30,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12696,null,335987,8,V Kohli,null,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,20,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12697,null,335987,9,JH Kallis,null,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,33,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12698,null,335987,10,CL White,null,Right-hand bat,Legbreak googly,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,25,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12699,null,335987,11,MV Boucher,null,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,32,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12700,null,335987,12,B Akhil,null,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,31,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12701,null,335987,13,AA Noffke,null,Right-hand bat,Right-arm fast-medium,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,31,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12702,null,335987,14,P Kumar,null,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,22,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12703,null,335987,15,Z Khan,null,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,30,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12704,null,335987,16,SB Joshi,null,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,null,38,null,null,null,R Dravid,SC Ganguly,MV Boucher,WP Saha
12705,null,335987,1,SC Ganguly,null,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,36,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12706,null,335987,2,BB McCullum,null,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,27,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12707,null,335987,3,RT Ponting,null,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,34,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12708,null,335987,4,DJ Hussey,null,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,31,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12709,null,335987,5,Mohammad Hafeez,null,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,28,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12710,null,335987,62,WP Saha,null,Right-hand bat,N/A,India,Keeper,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,24,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12711,null,335987,63,LR Shukla,null,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,27,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12712,null,335987,82,AB Agarkar,null,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,31,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12713,null,335987,83,M Kartik,null,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,32,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12714,null,335987,84,I Sharma,null,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,20,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12715,null,335987,106,AB Dinda,null,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,null,24,null,null,null,SC Ganguly,R Dravid,WP Saha,MV Boucher
12716,null,335988,24,K Goel,null,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,null,22,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12717,null,335988,25,JR Hopes,null,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,null,30,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12718,null,335988,26,KC Sangakkara,null,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Chennai Super Kings,2008,null,31,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12719,null,335988,27,Yuvraj Singh,null,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Chennai Super Kings,2008,null,27,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12720,null,335988,28,SM Katich,null,Left-hand bat,Slow left-arm chinaman,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,null,33,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12721,null,335988,29,IK Pathan,null,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Chennai Super Kings,2008,null,24,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12722,null,335988,66,B Lee,null,Right-hand bat,Right-arm fast,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,null,32,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12723,null,335988,67,PP Chawla,null,Left-hand bat,Legbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,null,20,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12724,null,335988,68,WA Mota,null,Right-hand bat,Right-arm medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,null,27,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12725,null,335988,77,S Sreesanth,null,Right-hand bat,Right-arm fast-medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,null,25,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12726,null,335988,466,P Dharmani,null,Right-hand bat,N/A,India,Player,Kings XI Punjab,Chennai Super Kings,2008,null,34,null,null,null,Yuvraj Singh,MS Dhoni,KC Sangakkara,MS Dhoni
12727,null,335988,17,PA Patel,null,Left-hand bat,N/A,India,Player,Chennai Super Kings,Kings XI Punjab,2008,null,23,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12728,null,335988,18,ML Hayden,null,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,null,37,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12729,null,335988,19,MEK Hussey,null,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,null,33,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12730,null,335988,20,MS Dhoni,null,Right-hand bat,Right-arm medium,India,CaptainKeeper,Chennai Super Kings,Kings XI Punjab,2008,null,27,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12731,null,335988,21,SK Raina,null,Left-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,null,22,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12732,null,335988,22,JDP Oram,null,Left-hand bat,Right-arm fast-medium,New Zealand,Player,Chennai Super Kings,Kings XI Punjab,2008,null,30,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12733,null,335988,23,S Badrinath,null,Right-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,null,28,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12734,null,335988,119,Joginder Sharma,null,Right-hand bat,Right-arm fast-medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,null,25,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12735,null,335988,120,MS Gony,null,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,null,24,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12736,null,335988,121,M Muralitharan,null,Right-hand bat,Right-arm offbreak,Sri Lanka,Player,Chennai Super Kings,Kings XI Punjab,2008,null,36,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12737,null,335988,435,P Amarnath,null,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,null,26,null,null,null,MS Dhoni,Yuvraj Singh,MS Dhoni,KC Sangakkara
12738,null,335989,40,G Gambhir,null,Left-hand bat,Legbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,null,27,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12739,null,335989,41,V Sehwag,null,Right-hand bat,Right-arm offbreak,India,Captain,Delhi Daredevils,Rajasthan Royals,2008,null,30,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12740,null,335989,42,S Dhawan,null,Left-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,null,23,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12741,null,335989,87,MK Tiwary,null,Right-hand bat,Legbreak googly,India,Player,Delhi Daredevils,Rajasthan Royals,2008,null,23,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12742,null,335989,88,KD Karthik,null,Right-hand bat,N/A,India,Keeper,Delhi Daredevils,Rajasthan Royals,2008,null,23,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12743,null,335989,89,R Bhatia,null,Right-hand bat,Right-arm medium-fast,India,Player,Delhi Daredevils,Rajasthan Royals,2008,null,29,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12744,null,335989,90,MF Maharoof,null,Right-hand bat,Right-arm fast-medium,India,Player,Delhi Daredevils,Rajasthan Royals,2008,null,24,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12745,null,335989,118,GD McGrath,null,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,null,38,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12746,null,335989,171,M Manhas,null,Right-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,null,29,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12747,null,335989,175,DL Vettori,null,Left-hand bat,Slow left-arm orthodox,New Zealand,Player,Delhi Daredevils,Rajasthan Royals,2008,null,29,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12748,null,335989,436,B Geeves,null,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,null,26,null,null,null,V Sehwag,SK Warne,KD Karthik,M Rawat
12749,null,335989,30,T Kohli,null,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,null,20,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12750,null,335989,31,YK Pathan,null,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,null,26,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12751,null,335989,32,SR Watson,null,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,null,27,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12752,null,335989,33,M Kaif,null,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,null,28,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12753,null,335989,34,DS Lehmann,null,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,null,38,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12754,null,335989,35,RA Jadeja,null,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Delhi Daredevils,2008,null,20,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12755,null,335989,36,M Rawat,null,Right-hand bat,N/A,India,Keeper,Rajasthan Royals,Delhi Daredevils,2008,null,23,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12756,null,335989,37,D Salunkhe,null,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,null,26,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12757,null,335989,38,SK Warne,null,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Delhi Daredevils,2008,null,39,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12758,null,335989,39,SK Trivedi,null,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,null,26,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12759,null,335989,126,MM Patel,null,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Delhi Daredevils,2008,null,25,null,null,null,SK Warne,V Sehwag,M Rawat,KD Karthik
12760,null,335990,43,L Ronchi,null,Right-hand bat,N/A,Australia,Keeper,Mumbai Indians,Royal Challengers Bangalore,2008,null,27,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12761,null,335990,44,ST Jayasuriya,null,Left-hand bat,Slow left-arm orthodox,Sri Lanka,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,39,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12762,null,335990,45,DJ Thornely,null,Right-hand bat,Right-arm medium,Australia,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,30,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12763,null,335990,46,RV Uthappa,null,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,23,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12764,null,335990,47,PR Shah,null,Right-hand bat,N/A,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,21,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12765,null,335990,48,AM Nayar,null,Left-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,25,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12766,null,335990,49,SM Pollock,null,Right-hand bat,Right-arm fast-medium,South Africa,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,35,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12767,null,335990,50,Harbhajan Singh,null,Right-hand bat,Right-arm offbreak,India,Captain,Mumbai Indians,Royal Challengers Bangalore,2008,null,28,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12768,null,335990,72,MA Khote,null,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,28,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12769,null,335990,73,A Nehra,null,Right-hand bat,Left-arm medium-fast,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,29,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12770,null,335990,80,DS Kulkarni,null,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,null,20,null,null,null,Harbhajan Singh,R Dravid,L Ronchi,MV Boucher
12771,null,335990,6,R Dravid,null,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Mumbai Indians,2008,null,35,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12772,null,335990,8,V Kohli,null,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,20,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12773,null,335990,9,JH Kallis,null,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,33,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12774,null,335990,11,MV Boucher,null,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Mumbai Indians,2008,null,32,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12775,null,335990,12,B Akhil,null,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,31,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12776,null,335990,14,P Kumar,null,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,22,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12777,null,335990,15,Z Khan,null,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,30,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12778,null,335990,16,SB Joshi,null,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,38,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12779,null,335990,51,S Chanderpaul,null,Left-hand bat,Legbreak,West Indies,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,34,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12780,null,335990,52,LRPL Taylor,null,Right-hand bat,Right-arm offbreak,New Zealand,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,24,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12781,null,335990,81,R Vinay Kumar,null,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,null,24,null,null,null,R Dravid,Harbhajan Singh,MV Boucher,L Ronchi
12782,null,335991,53,AC Gilchrist,null,Left-hand bat,Right-arm offbreak,Australia,Keeper,Deccan Chargers,Kolkata Knight Riders,2008,null,37,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12783,null,335991,54,Y Venugopal Rao,null,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,26,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12784,null,335991,55,VVS Laxman,null,Right-hand bat,Right-arm offbreak,India,Captain,Deccan Chargers,Kolkata Knight Riders,2008,null,34,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12785,null,335991,56,A Symonds,null,Right-hand bat,Right-arm offbreak,Australia,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,33,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12786,null,335991,57,RG Sharma,null,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,21,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12787,null,335991,58,SB Styris,null,Right-hand bat,Right-arm medium,New Zealand,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,33,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12788,null,335991,59,SB Bangar,null,Right-hand bat,Right-arm medium-fast,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,36,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12789,null,335991,60,WPUJC Vaas,null,Left-hand bat,Left-arm fast-medium,Sri Lanka,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,34,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12790,null,335991,61,RP Singh,null,Right-hand bat,Left-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,23,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12791,null,335991,131,PP Ojha,null,Left-hand bat,Slow left-arm orthodox,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,22,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12792,null,335991,232,UT Yadav,null,Right-hand bat,Right-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,null,21,null,null,null,VVS Laxman,SC Ganguly,AC Gilchrist,WP Saha
12793,null,335991,1,SC Ganguly,null,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Deccan Chargers,2008,null,36,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12794,null,335991,2,BB McCullum,null,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,27,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12795,null,335991,3,RT Ponting,null,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,34,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12796,null,335991,4,DJ Hussey,null,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,31,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12797,null,335991,5,Mohammad Hafeez,null,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,28,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12798,null,335991,62,WP Saha,null,Right-hand bat,N/A,India,Keeper,Kolkata Knight Riders,Deccan Chargers,2008,null,24,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12799,null,335991,63,LR Shukla,null,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,27,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12800,null,335991,82,AB Agarkar,null,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,31,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12801,null,335991,83,M Kartik,null,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,32,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12802,null,335991,84,I Sharma,null,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,20,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12803,null,335991,106,AB Dinda,null,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,null,24,null,null,null,SC Ganguly,VVS Laxman,WP Saha,AC Gilchrist
12804,null,335992,31,YK Pathan,null,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,null,26,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12805,null,335992,32,SR Watson,null,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,null,27,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12806,null,335992,33,M Kaif,null,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,null,28,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12807,null,335992,34,DS Lehmann,null,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,null,38,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12808,null,335992,35,RA Jadeja,null,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Kings XI Punjab,2008,null,20,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12809,null,335992,37,D Salunkhe,null,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,null,26,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12810,null,335992,38,SK Warne,null,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Kings XI Punjab,2008,null,39,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12811,null,335992,39,SK Trivedi,null,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Kings XI Punjab,2008,null,26,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12812,null,335992,69,Kamran Akmal,null,Right-hand bat,N/A,Pakistan,Keeper,Rajasthan Royals,Kings XI Punjab,2008,null,26,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12813,null,335992,75,Pankaj Singh,null,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,null,23,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12814,null,335992,126,MM Patel,null,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,null,25,null,null,null,SK Warne,Yuvraj Singh,Kamran Akmal,KC Sangakkara
12815,null,335992,24,K Goel,null,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Rajasthan Royals,2008,null,22,null,null,null,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12816,null,335992,25,JR Hopes,null,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Rajasthan Royals,2008,null,30,null,null,null,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12817,null,335992,26,KC Sangakkara,null,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Rajasthan Royals,2008,null,31,null,null,null,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12818,null,335992,27,Yuvraj Singh,null,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Rajasthan Royals,2008,null,27,null,null,null,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12819,null,335992,29,IK Pathan,null,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Rajasthan Royals,2008,null,24,null,null,null,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12820,null,335992,64,DPMD Jayawardene,null,Right-hand bat,Right-arm medium,Sri Lanka,Player,Kings XI Punjab,Rajasthan Royals,2008,null,31,null,null,null,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
12821,null,335992,65,S Sohal,null,Right-hand bat,Legbreak,India,Player,Kings XI Punjab,Rajasthan Royals,2008,null,21,null,null,null,Yuvraj Singh,SK Warne,KC Sangakkara,Kamran Akmal
