match_id,over_id,ball_id,innings_no,team_batting,team_bowling,striker_batting_position,extra_type,runs_scored,extra_runs,wides,legbyes,byes,noballs,penalty,bowler_extras,out_type,caught,bowled,run_out,lbw,retired_hurt,stumped,caught_and_bowled,hit_wicket,obstructingfeild,bowler_wicket,match_date,season,striker,non_striker,bowler,player_out,fielders,striker_match_sk,strikersk,nonstriker_match_sk,nonstriker_sk,fielder_match_sk,fielder_sk,bowler_match_sk,bowler_sk,playerout_match_sk,battingteam_sk,bowlingteam_sk,keeper_catch,player_out_sk,matchdatesk
598028,11,4,1,5,2,5,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,104,6,83,null,null,20333,103,20328,5,-1,-1,20343,82,-1,4,1,null,0,null
598028,11,5,1,5,2,5,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,104,6,83,null,null,20333,103,20328,5,-1,-1,20343,82,-1,4,1,null,0,null
598028,11,6,1,5,2,3,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,104,83,null,null,20328,5,20333,103,-1,-1,20343,82,-1,4,1,null,0,null
598028,10,1,1,5,2,4,No Extras,4,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,6,81,null,null,20335,254,20328,5,-1,-1,20342,80,-1,4,1,null,0,null
598028,10,2,1,5,2,4,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,6,81,null,null,20335,254,20328,5,-1,-1,20342,80,-1,4,1,null,0,null
598028,10,3,1,5,2,3,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,255,81,null,null,20328,5,20335,254,-1,-1,20342,80,-1,4,1,null,0,null
598028,10,4,1,5,2,4,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,6,81,null,null,20335,254,20328,5,-1,-1,20342,80,-1,4,1,null,0,null
598028,10,5,1,5,2,4,No Extras,0,0,0,0,0,0,0,0,Keeper Catch,null,null,null,null,null,null,null,null,null,null,null,2013,255,6,81,255,239,20335,254,20328,5,20347,238,20342,80,20335,4,1,null,0,null
598028,10,6,1,5,2,3,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,104,81,null,null,20328,5,20333,103,-1,-1,20342,80,-1,4,1,null,0,null
598063,3,4,2,5,3,2,No Extras,3,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,85,6,364,null,null,21101,84,21098,5,-1,-1,21118,363,-1,4,2,null,0,null
